118,228,NULL,32:01.0,一時運営中止,00:00.0,00:00.0,NULL,NULL,NULL
119,227,NULL,32:01.0,一時運営中止,00:00.0,30:00.0,NULL,NULL,NULL
120,229,5,32:01.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
121,218,120,32:01.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
122,247,40,32:01.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
123,233,NULL,32:01.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
124,244,NULL,32:01.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
125,245,5,32:01.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
126,237,30,32:01.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
127,240,30,32:01.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
128,226,35,32:01.0,運営中,30:00.0,00:00.0,発行中,35:00.0,35:00.0
129,221,25,32:01.0,運営中,15:00.0,25:00.0,発行中,30:00.0,50:00.0
130,242,NULL,32:01.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
131,241,15,32:01.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
132,230,45,32:01.0,運営中,00:00.0,45:00.0,NULL,NULL,NULL
133,224,25,32:01.0,運営中,00:00.0,00:00.0,発行中,40:00.0,40:00.0
134,219,210,32:01.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
135,173,10,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
136,172,NULL,32:59.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
137,157,5,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
138,154,10,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
139,151,NULL,32:59.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
140,152,5,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
141,158,5,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
142,179,10,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
143,170,NULL,32:59.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
144,181,15,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
145,166,NULL,32:59.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
146,153,10,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
147,155,0,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
148,183,15,32:59.0,運営中,00:00.0,00:00.0,発行中,35:00.0,35:00.0
149,195,10,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
150,162,100,32:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
151,184,60,32:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
152,178,0,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
153,194,NULL,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
154,161,5,32:59.0,運営中,00:00.0,45:00.0,NULL,NULL,NULL
155,180,0,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
156,185,50,32:59.0,運営中,00:00.0,00:00.0,発行中,35:00.0,35:00.0
157,160,70,32:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
158,163,15,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
159,168,15,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
160,164,35,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
161,174,65,32:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
162,191,NULL,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
163,171,35,32:59.0,運営中,00:00.0,00:00.0,発行中,50:00.0,50:00.0
164,167,15,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
165,176,0,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
166,189,40,32:59.0,運営中,00:00.0,00:00.0,発行中,40:00.0,00:00.0
167,175,35,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
168,165,25,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
169,169,30,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
170,159,5,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
171,156,5,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
172,234,20,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
173,202,NULL,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
174,222,130,32:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
175,236,5,32:59.0,運営中,30:00.0,00:00.0,NULL,NULL,NULL
176,235,5,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
177,220,15,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
178,239,10,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
179,238,20,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
180,223,160,32:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
181,243,130,32:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
182,246,45,32:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
183,232,5,32:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
184,231,5,32:59.0,運営中,30:00.0,00:00.0,NULL,NULL,NULL
185,228,NULL,32:59.0,一時運営中止,00:00.0,00:00.0,NULL,NULL,NULL
186,227,NULL,33:00.0,一時運営中止,00:00.0,30:00.0,NULL,NULL,NULL
187,229,5,33:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
188,218,120,33:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
189,247,40,33:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
